Date,Open,High,Low,Close,Adj Close,Volume
2017-03-23,35.189999,35.189999,33.430000,33.529999,33.529999,3454500
2017-03-24,33.660000,34.020000,33.250000,33.709999,33.709999,1134900
2017-03-27,33.049999,34.000000,32.910000,33.849998,33.849998,797800
2017-03-28,33.810001,33.919998,32.560001,32.939999,32.939999,1593300
2017-03-29,32.860001,33.709999,32.860001,33.540001,33.540001,821700
2017-03-30,33.450001,33.525002,32.869999,33.279999,33.279999,1027000
2017-03-31,33.060001,33.740002,33.020000,33.669998,33.669998,905100
2017-04-03,33.590000,34.139999,33.529999,33.750000,33.750000,848300
2017-04-04,33.750000,33.950001,33.501999,33.930000,33.930000,753900
2017-04-05,33.900002,34.139999,33.299999,33.470001,33.470001,1289800
2017-04-06,33.520000,33.970001,33.320000,33.910000,33.910000,977100
2017-04-07,34.000000,34.250000,33.770000,34.119999,34.119999,772600
2017-04-10,34.090000,34.680000,33.950001,34.520000,34.520000,969200
2017-04-11,34.410000,34.660000,34.290001,34.509998,34.509998,577500
2017-04-12,34.570000,35.000000,34.400002,34.470001,34.470001,998900
2017-04-13,34.450001,34.900002,34.290001,34.619999,34.619999,668100
2017-04-17,34.590000,35.130001,34.520000,35.119999,35.119999,625100
2017-04-18,35.070000,35.700001,34.869999,35.650002,35.650002,862900
2017-04-19,35.889999,36.169998,35.750000,36.139999,36.139999,516800
2017-04-20,36.000000,36.410000,35.889999,36.330002,36.330002,856400
2017-04-21,36.400002,36.639999,36.250000,36.610001,36.610001,646500
2017-04-24,36.730000,37.070000,36.509998,36.869999,36.869999,898600
2017-04-25,37.080002,37.674999,36.869999,37.590000,37.590000,1080500
2017-04-26,37.680000,38.660000,37.650002,38.619999,38.619999,1896100
2017-04-27,38.599998,40.290001,38.599998,39.549999,39.549999,2648600
2017-04-28,39.639999,39.770000,38.939999,39.000000,39.000000,1277500
2017-05-01,39.400002,40.099998,39.060001,39.919998,39.919998,1810800
2017-05-02,39.970001,40.090000,38.980000,39.750000,39.750000,1242700
2017-05-03,39.520000,39.580002,38.930000,39.349998,39.349998,1115400
2017-05-04,39.320000,40.790001,39.090000,40.230000,40.230000,3480200
2017-05-05,41.660000,44.000000,41.279999,43.970001,43.970001,4885700
2017-05-08,43.950001,43.969002,43.130001,43.560001,43.560001,1349200
2017-05-09,43.540001,43.540001,42.200001,42.639999,42.639999,1913000
2017-05-10,42.880001,43.188000,42.549999,43.099998,43.099998,1287300
2017-05-11,42.860001,43.439999,42.630001,43.230000,43.230000,1031500
2017-05-12,43.080002,43.450001,42.779999,42.869999,42.869999,1077600
2017-05-15,42.919998,43.805000,42.889999,43.290001,43.290001,992900
2017-05-16,43.240002,44.490002,42.959999,44.389999,44.389999,1577100
2017-05-17,43.520000,43.790001,41.299999,41.369999,41.369999,2417400
2017-05-18,41.369999,41.930000,41.000000,41.529999,41.529999,1676000
2017-05-19,41.919998,42.459999,40.980000,41.040001,41.040001,1610800
2017-05-22,41.070000,41.730000,41.070000,41.270000,41.270000,1364600
2017-05-23,41.320000,42.660000,41.130001,42.630001,42.630001,2097800
2017-05-24,42.570000,43.799999,42.419998,43.540001,43.540001,2097800
2017-05-25,43.919998,43.919998,43.130001,43.230000,43.230000,1123700
2017-05-26,43.380001,43.500000,42.930000,43.340000,43.340000,1141400
2017-05-30,43.410000,43.639999,43.080002,43.490002,43.490002,973100
2017-05-31,43.520000,43.779999,42.860001,43.520000,43.520000,1400500
2017-06-01,43.750000,44.750000,43.209999,44.700001,44.700001,1342600
2017-06-02,44.389999,45.310001,44.360001,45.060001,45.060001,714000
2017-06-05,44.970001,45.150002,44.660000,44.730000,44.730000,574200
2017-06-06,44.660000,45.849998,44.410000,45.209999,45.209999,1127500
2017-06-07,45.240002,45.830002,44.799999,45.540001,45.540001,1180700
2017-06-08,45.250000,45.709999,44.520000,45.500000,45.500000,1178700
2017-06-09,45.490002,45.790001,43.360001,44.439999,44.439999,3935700
